EMPLOYEE_ID,SKILL_ID,SKILL_PREFERENCE
Employee_70,SKILL_1,5
Employee_70,SKILL_7,5
Employee_70,SKILL_10,9
Employee_70,SKILL_12,9
Employee_70,SKILL_16,10
Employee_71,SKILL_1,4
Employee_72,SKILL_3,3
Employee_72,SKILL_12,7
Employee_72,SKILL_13,8
Employee_72,SKILL_16,2
Employee_73,SKILL_4,6
Employee_73,SKILL_14,2
Employee_74,SKILL_2,5
Employee_74,SKILL_4,7
Employee_74,SKILL_6,9
Employee_74,SKILL_15,4
Employee_75,SKILL_0,10
Employee_75,SKILL_1,2
Employee_75,SKILL_6,9
Employee_76,SKILL_10,9
Employee_76,SKILL_14,4
Employee_77,SKILL_4,5
Employee_78,SKILL_0,10
Employee_78,SKILL_2,5
Employee_78,SKILL_4,3
Employee_78,SKILL_5,5
Employee_78,SKILL_10,1
Employee_79,SKILL_4,6
Employee_80,SKILL_0,2
Employee_81,SKILL_4,10
Employee_81,SKILL_6,6
Employee_81,SKILL_7,1
Employee_82,SKILL_3,10
Employee_82,SKILL_14,7
Employee_83,SKILL_4,2
Employee_84,SKILL_4,7
Employee_84,SKILL_7,2
Employee_84,SKILL_16,6
Employee_85,SKILL_3,3
Employee_85,SKILL_4,2
Employee_85,SKILL_6,6
Employee_86,SKILL_1,6
Employee_86,SKILL_4,5
Employee_86,SKILL_10,1
Employee_86,SKILL_15,3
Employee_87,SKILL_0,9
Employee_87,SKILL_2,2
Employee_87,SKILL_6,4
Employee_88,SKILL_0,10
Employee_89,SKILL_1,10
Employee_89,SKILL_2,6
Employee_89,SKILL_5,4
Employee_89,SKILL_7,2
Employee_89,SKILL_11,10
Employee_90,SKILL_3,3
Employee_90,SKILL_17,8
Employee_91,SKILL_5,4
Employee_91,SKILL_10,7
Employee_91,SKILL_13,9
Employee_91,SKILL_14,1
Employee_92,SKILL_15,8
Employee_93,SKILL_3,10
Employee_93,SKILL_6,4
Employee_93,SKILL_10,5
Employee_93,SKILL_16,5
Employee_94,SKILL_0,4
Employee_94,SKILL_1,10
Employee_94,SKILL_11,3
Employee_95,SKILL_13,10
Employee_96,SKILL_3,1
Employee_96,SKILL_5,4
Employee_96,SKILL_6,3
Employee_96,SKILL_10,1
Employee_96,SKILL_16,7
Employee_97,SKILL_9,4
Employee_98,SKILL_2,6
Employee_98,SKILL_15,9
Employee_99,SKILL_1,2
Employee_99,SKILL_12,4
Employee_100,SKILL_8,1
Employee_100,SKILL_9,3
Employee_100,SKILL_12,1
Employee_100,SKILL_13,9
Employee_101,SKILL_0,10
Employee_101,SKILL_9,5
Employee_101,SKILL_10,8
Employee_101,SKILL_15,6
Employee_102,SKILL_7,6
Employee_103,SKILL_10,6
Employee_103,SKILL_12,9
Employee_104,SKILL_4,7
Employee_105,SKILL_3,5
Employee_106,SKILL_1,10
Employee_106,SKILL_6,10
Employee_107,SKILL_4,7
Employee_107,SKILL_15,2
Employee_108,SKILL_0,1
Employee_108,SKILL_3,6
Employee_109,SKILL_0,8
Employee_109,SKILL_6,10
Employee_110,SKILL_5,9
Employee_110,SKILL_6,3
Employee_110,SKILL_10,9
Employee_110,SKILL_12,10
Employee_110,SKILL_14,6
Employee_111,SKILL_4,3
Employee_111,SKILL_5,1
Employee_111,SKILL_12,5
Employee_111,SKILL_15,4
Employee_112,SKILL_0,1
Employee_112,SKILL_10,3
Employee_113,SKILL_3,10
Employee_113,SKILL_5,5
Employee_113,SKILL_7,9
Employee_114,SKILL_5,3
Employee_114,SKILL_13,3
